Date,AirportName,PercentOfBaseline
2020-04-21,Denver International,31.0
2020-04-21,Detroit Metropolitan Wayne County,49.0
2020-04-21,Hartsfield-Jackson Atlanta International,62.0
2020-04-21,John F. Kennedy International,46.0
2020-04-21,LaGuardia,53.0
2020-04-21,Los Angeles International,61.0
2020-04-21,McCarran International,38.0
2020-04-21,Miami International,72.0
2020-04-21,Newark Liberty International,64.0
2020-04-21,San Francisco International,46.0
2020-04-21,Seattle-Tacoma International,63.0
2020-04-21,Washington Dulles International,47.0
2020-04-22,Boston Logan International,65.0
2020-04-22,Charlotte Douglas International,77.0
2020-04-22,Chicago OHare International,70.0
2020-04-22,Dallas/Fort Worth International,65.0
2020-04-22,Daniel K. Inouye International,79.0
2020-04-22,Denver International,49.0
2020-04-22,Detroit Metropolitan Wayne County,52.0
2020-04-22,Hartsfield-Jackson Atlanta International,58.0
2020-04-22,John F. Kennedy International,46.0
2020-04-22,LaGuardia,59.0
2020-04-22,Los Angeles International,60.0
2020-04-22,McCarran International,40.0
2020-04-22,Miami International,73.0
2020-04-22,Newark Liberty International,65.0
2020-04-22,San Francisco International,41.0
2020-04-22,Seattle-Tacoma International,63.0
2020-04-22,Washington Dulles International,53.0
2020-04-23,Boston Logan International,56.0
2020-04-23,Charlotte Douglas International,69.0
2020-04-23,Chicago OHare International,67.0
2020-04-23,Dallas/Fort Worth International,62.0
2020-04-23,Daniel K. Inouye International,75.0
2020-04-23,Denver International,39.0
2020-04-23,Detroit Metropolitan Wayne County,48.0
2020-04-23,Hartsfield-Jackson Atlanta International,53.0
2020-04-23,John F. Kennedy International,45.0
2020-04-23,LaGuardia,49.0
2020-04-23,Los Angeles International,63.0
2020-04-23,McCarran International,37.0
2020-04-23,Miami International,62.0
2020-04-23,Newark Liberty International,64.0
2020-04-23,San Francisco International,39.0
2020-04-23,Seattle-Tacoma International,57.0
2020-04-23,Washington Dulles International,50.0
2020-04-24,Boston Logan International,54.0
2020-04-24,Charlotte Douglas International,69.0
2020-04-24,Chicago OHare International,65.0
2020-04-24,Dallas/Fort Worth International,64.0
2020-04-24,Daniel K. Inouye International,77.0
2020-04-24,Denver International,41.0
2020-04-24,Detroit Metropolitan Wayne County,45.0
